Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ
AGH University of Science & Technology,29,3,54,33,0.3061728395,0.388888889
Al Azhar University,5,1,74,17,0.6666666667,0.77027027
Al-Imam Muhammad Ibn Saud Islamic University,2,0,7,2,0,0.714285714
Alexandria University,5,2,46,3,0.5833333333,0.934782609
Amity University,3,0,3,1,0,0.666666667
Amrita Vishwa Vidyapeetham,4,0,10,1,0,0.9
Ankara University,3,2,12,2,0.284375,0.833333333
Aoyama Gakuin University,15,0,29,6,0,0.793103448
Arizona State University,80,19,558,189,0.3870150286,0.661290323
Auburn University,7,1,52,7,1,0.865384615
Australian National University,56,20,1901,137,0.4929128597,0.927932667
Babes Bolyai University from Cluj,7,2,28,5,0.3229166667,0.821428571
Benemerita Universidad Autonoma de Puebla,15,2,45,14,0.2708333333,0.688888889
Birla Institute of Technology and Science Pilani (BITS Pilani),9,1,50,3,0.3333333333,0.94
Colorado State University,25,4,134,29,0.4088541667,0.78358209
Columbia University,72,13,1549,505,0.3941666667,0.673983215
Cornell University,121,,3530,1378,,0.609631728
Ecole Polytechnique Federale de Lausanne,268,,5320,475,,0.910714286
Indian Institute of Science (IISC) - Bangalore,39,7,449,68,0.8571428571,0.848552339
Indian Institute of Technology (IIT BHU) - Varanasi,9,1,75,35,0.6666666667,0.533333333
Indian Institute of Technology (IIT) - Bombay,11,0,230,20,0,0.913043478
Indian Institute of Technology (IIT) - Delhi,25,6,210,36,0.3030555556,0.828571429
Indian Institute of Technology (IIT) - Kharagpur,32,8,262,49,0.4633333333,0.812977099
Indian Institute of Technology (IIT) - Madras,37,7,329,53,0.5571428571,0.838905775
Indian Institute of Technology (IIT) - Roorkee,22,3,103,30,0.4133333333,0.708737864
Johns Hopkins University,130,,3047,1185,,0.611092878
Manipal University,5,2,39,15,0.5,0.615384615
McGill University,103,,1634,215,,0.868421053
National Institute of Technology Karnataka,2,0,13,8,0,0.384615385
North Carolina State University,31,2,279,105,0.3333333333,0.623655914
PES University,2,0,9,2,0,0.777777778
RWTH Aachen University,59,17,496,99,0.3149739051,0.800403226
Simon Fraser University,66,15,593,97,0.4620833333,0.836424958
Sogang University,19,10,163,34,0.3388518519,0.791411043
State University of New York (SUNY) Binghamton,13,2,120,28,0.5,0.766666667
University of British Columbia,85,26,1642,147,0.3759775641,0.91047503
University of Edinburgh,83,34,860,51,0.280756647,0.940697674
University of Guelph,45,23,232,33,0.2982004831,0.857758621
University of Michigan,218,,3916,1290,,0.670582227
University of Montreal,56,10,771,126,0.1831309524,0.836575875
University of Ottawa,39,8,291,53,0.6775,0.817869416
University of Pennsylvania,222,,8241,3017,,0.633903652
University of Salford,24,7,416,53,0.3088253158,0.872596154
University of Southern California,173,,6126,1906,,0.688867124
University of Southern Queensland,2,1,11,1,0.75,0.909090909
University of Tokyo,390,,4303,1048,,0.756448989
University of Toronto,200,,2002,301,,0.84965035
University of Waterloo,91,31,1272,151,0.5167769061,0.881289308
Yale University,84,19,1581,501,0.521301468,0.683111954
Yonsei University,41,5,250,66,0.2433333333,0.736
