Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,Ranking,cost,rho,Internationality(1>rho>0),Internationality(0.1>rho>0.001),Internationality(0.9>rho>0.101),Internationality(0.99>rho>0.9),Internationality(rho>1)
AGH University of Science & Technology,29,3,54,33,0.3061728395061729,0.38888888899999996,0.0,0.3450624394984804,5.0596893517829145e-05,0.34506130112108974,0.3450637255647722,0.3453105424593833,0.3472842784149113,0.0
Al Azhar University,5,1,74,17,0.6666666666666666,0.77027027,0.0,0.7165989369497393,1.4452272659504217e-05,0.7165985989711567,0.7166004903634612,0.7167886374154978,0.7182815746770972,0.0
Al-Imam Muhammad Ibn Saud Islamic University,2,0,7,2,0.01,0.7142857140000001,0.0,0.08454407341706034,0.00322526981404736,0.0851385798392514,0.08470874810605011,0.10666170410814581,0.3385644134852146,0.0
Alexandria University,5,2,46,3,0.5833333333333334,0.9347826090000001,0.0,0.7384591417870902,0.0004848373219896729,0.7384473931461667,0.7384582653239682,0.7405304831722628,0.7570029199825798,0.0
Amity University,3,0,3,1,0.01,0.666666667,0.0,0.08192658608981812,0.00015981044852375614,0.08167843101363338,0.08183694740659637,0.10185536866604744,0.31648106697913186,0.0
Amrita Vishwa Vidyapeetham,4,0,10,1,0.01,0.9,0.0,0.09500345422782638,0.0007238047965705263,0.09504228551594586,0.09513703707239593,0.12226323629731412,0.4247658283082891,0.0
Ankara University,3,2,12,2,0.284375,0.833333333,0.0,0.48682776282283563,6.209266192380714e-05,0.4868094276781438,0.486886241402995,0.49398819265941185,0.5517686500528248,0.0
Aoyama Gakuin University,15,0,29,6,0.01,0.793103448,0.0,0.08920736515120047,0.00028701078713533335,0.08911748562632582,0.08927368786106578,0.11319410603418945,0.3751402732544849,0.0
Arizona State University,80,19,558,189,0.38701502855410863,0.661290323,50.0,0.5058979707074625,0.0006443149439512297,0.50590624157886,0.5059129165165789,0.5077415474669179,0.5223362752021888,0.0
Auburn University,7,1,52,7,1.0,0.865384615,0.0,0.9302605102457833,5.1894506635896676e-05,0.9302606353555819,0.9302631576379696,0.9305074876219961,0.9324493658274114,0.9992486864831636
Australian National University,56,20,1901,137,0.4929128596571779,0.927932667,41.0,0.6763231927851381,0.0003005704048844038,0.6763162720950328,0.6763413037241581,0.6797373917083935,0.7070316593276371,0.0
Babes Bolyai University from Cluj,7,2,28,5,0.32291666666666663,0.8214285709999999,0.0,0.5150282487395881,0.0004319547932629675,0.5150514018888324,0.5150918918413603,0.5207510676427537,0.5665323670113549,0.0
Benemerita Universidad Autonoma de Puebla,15,2,45,14,0.2708333333333333,0.688888889,0.0,0.4320550315411411,0.0006642416653057648,0.43197347068438047,0.4319914585334077,0.4367336951893153,0.475129804173029,0.0
Birla Institute of Technology and Science Pilani (BITS Pilani),9,1,50,3,0.3333333333333333,0.94,0.0,0.559773345281586,6.328819348988546e-05,0.5597666137743117,0.5598436950954077,0.5674106789354775,0.6290980736372475,0.0
Colorado State University,25,4,134,29,0.4088541666666666,0.78358209,181.0,0.5660323928902065,7.7371736582732e-05,0.5660153927205549,0.56604307960198,0.5690561702243415,0.5932182478916791,0.0
Columbia University,72,13,1549,505,0.39416666666666667,0.673983215,51.0,0.5154297592298729,5.637804654545775e-05,0.5154248681658881,0.515443738166196,0.5173098044885441,0.5322192546825665,0.0
Cornell University,121,16,3530,1378,0.42391276041666665,0.609631728,21.0,0.5083613739905086,0.0011749413112123186,0.5083706221954645,0.5083695708158419,0.5092123436404508,0.5159329264153196,0.0
Ecole Polytechnique Federale de Lausanne,268,83,5320,475,0.3155297849166255,0.9107142859999999,0.0,0.5362455330847827,3.684650570789927e-05,0.5360601243019317,0.5361353211789249,0.5437659400710718,0.6055398567492781,0.0
Indian Institute of Science (IISC) - Bangalore,39,7,449,68,0.857142857142857,0.848552339,280.0,0.8528367825132697,2.0143039426878673e-05,0.8528367819564164,0.852836793241276,0.8528378742658663,0.8528465172385523,0.0
Indian Institute of Technology (IIT BHU) - Varanasi,9,1,75,35,0.6666666666666666,0.533333333,237.0,0.5962866195322515,0.0010810011154647192,0.5962888058053553,0.5962885897318714,0.5966619400654661,0.5996291814956889,0.0
Indian Institute of Technology (IIT) - Bombay,11,0,230,20,0.01,0.913043478,0.0,0.09564374301728834,0.0005492062927197061,0.0956870778105467,0.0958231149579252,0.12343000374644564,0.43080343275350824,0.0
Indian Institute of Technology (IIT) - Delhi,25,6,210,36,0.3030555555555556,0.828571429,254.0,0.5011598066802478,0.0007810173167179801,0.5011514518652622,0.5011655620506843,0.5075626862591385,0.5594373711546893,0.0
Indian Institute of Technology (IIT) - Kharagpur,32,8,262,49,0.4633333333333333,0.812977099,0.0,0.6137642486571745,0.00014827698302127823,0.6137457156271682,0.613768125285986,0.6161991875382604,0.6357253492738085,0.0
Indian Institute of Technology (IIT) - Madras,37,7,329,53,0.5571428571428572,0.838905775,177.0,0.683667191936094,0.0011197596079028926,0.6836755646835637,0.6836742644225003,0.6851071641076097,0.6965914861046848,0.0
Indian Institute of Technology (IIT) - Roorkee,22,3,103,30,0.4133333333333333,0.708737864,0.0,0.5412491174730433,0.001442904765229791,0.5412723085134797,0.5412644154638833,0.5432366799840138,0.5590651784130911,0.0
Johns Hopkins University,130,24,3047,1185,0.383062123383304,0.611092878,27.0,0.48383256123591656,0.0004232065847412647,0.48383048482393,0.48384014218037796,0.4851627874358251,0.49575693670897897,0.0
Manipal University,5,2,39,15,0.5,0.615384615,0.0,0.5547010939619024,0.00022294116807186626,0.5547008625181787,0.5547032766798126,0.5550038623980444,0.5573932896272193,0.0
McGill University,103,38,1634,215,0.5527948343079923,0.8684210529999999,22.0,0.6928720831586186,0.0008367911044957488,0.6928774509704934,0.6928804153443228,0.6946498514455633,0.7088401569842001,0.0
