Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,cost,rho,Internationality
AGH University of Science & Technology,29,3.0,54,33,0.3061728395,0.388888889,0.37969924372340286,7.551145765405387e-05,0.37969924372340286
Al Azhar University,5,1.0,74,17,0.6666666667,0.77027027,0.7592237379255744,0.00020107647622635838,0.7592237379255744
Al-Imam Muhammad Ibn Saud Islamic University,2,0.0,7,2,0.0,0.7142857140000001,0.0,0.00010930071578418854,0.0
Alexandria University,5,2.0,46,3,0.5833333333,0.934782609,0.891726443253381,9.305131217207663e-05,0.891726443253381
Amity University,3,0.0,3,1,0.0,0.666666667,9.466856261549758e-116,0.0003984188571659608,9.466856261549758e-116
Amrita Vishwa Vidyapeetham,4,0.0,10,1,0.0,0.9,1.703174753648251e-42,0.0010966974780601824,1.703174753648251e-42
Ankara University,3,2.0,12,2,0.284375,0.833333333,0.748402419677403,0.0004056662077933648,0.748402419677403
Aoyama Gakuin University,15,0.0,29,6,0.0,0.793103448,2.703489518792264e-99,0.00046469682522864986,2.703489518792264e-99
Arizona State University,80,19.0,558,189,0.3870150286,0.661290323,0.6268141926822606,0.0023341066653610465,0.6268141926822606
Auburn University,7,1.0,52,7,1.0,0.865384615,0.8779874965338419,0.00019138589282730045,0.8779874965338419
Australian National University,56,20.0,1901,137,0.4929128597,0.927932667,0.8710590605233723,0.000737815100693151,0.8710590605233723
Babes Bolyai University from Cluj,7,2.0,28,5,0.3229166667,0.8214285709999999,0.748211384705458,0.00014334946539462656,0.748211384705458
Benemerita Universidad Autonoma de Puebla,15,2.0,45,14,0.2708333333,0.688888889,0.6274946233334484,0.0003249989334577208,0.6274946233334484
Birla Institute of Technology and Science Pilani (BITS Pilani),9,1.0,50,3,0.3333333333,0.94,0.8474405335843761,0.0002994677243839394,0.8474405335843761
Colorado State University,25,4.0,134,29,0.4088541667,0.78358209,0.7342450896161407,0.000986499436764765,0.7342450896161407
Columbia University,72,13.0,1549,505,0.3941666667,0.673983215,0.638782747899435,0.00018066651119919008,0.638782747899435
Cornell University,121,0.0,3530,1378,0.0,0.609631728,5.453119579021725e-63,0.000737448087917647,5.453119579021725e-63
Ecole Polytechnique Federale de Lausanne,268,0.0,5320,475,0.0,0.910714286,5.5755877845365226e-245,0.00018736706652888735,5.5755877845365226e-245
Indian Institute of Science (IISC) - Bangalore,39,7.0,449,68,0.8571428570999999,0.848552339,0.8494075025238849,9.529807065833396e-05,0.8494075025238849
Indian Institute of Technology (IIT BHU) - Varanasi,9,1.0,75,35,0.6666666667,0.533333333,0.5453695093874952,0.0011556679462016994,0.5453695093874952
Indian Institute of Technology (IIT) - Bombay,11,0.0,230,20,0.0,0.913043478,1.855106381e-314,0.00014586751549794386,1.855106381e-314
Indian Institute of Technology (IIT) - Delhi,25,6.0,210,36,0.3030555556,0.828571429,0.7492942618532124,0.00016304981127168716,0.7492942618532124
Indian Institute of Technology (IIT) - Kharagpur,32,8.0,262,49,0.4633333333,0.812977099,0.7685295490289665,0.00011895315606569312,0.7685295490289665
Indian Institute of Technology (IIT) - Madras,37,7.0,329,53,0.5571428571,0.838905775,0.8052648148414343,6.14371464748853e-05,0.8052648148414343
Indian Institute of Technology (IIT) - Roorkee,22,3.0,103,30,0.4133333333,0.708737864,0.6715381599911747,0.0006303164162460018,0.6715381599911747
