,Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,rho,Internationality
0,AGH University of Science & Technology,29,3.0,54,33,0.3061728395,0.38888888899999996,-1.8622422799175733e-09,0.37969915477889093
1,Al Azhar University,5,1.0,74,17,0.6666666667,0.77027027,-9.910991296810524e-07,0.7592235938392863
2,Al-Imam Muhammad Ibn Saud Islamic University,2,0.0,7,2,0.0,0.7142857140000001,1.0924020175533816e-05,0.0
3,Alexandria University,5,2.0,46,3,0.5833333333,0.9347826090000001,-5.891989013843348e-10,0.8917254259822213
4,Amity University,3,0.0,3,1,0.0,0.666666667,6.639203116913614e-05,0.0
5,Amrita Vishwa Vidyapeetham,4,0.0,10,1,0.0,0.9,8.695863038715463e-05,0.0
6,Ankara University,3,2.0,12,2,0.284375,0.833333333,-9.993110604540215e-07,0.7483865903688096
7,Aoyama Gakuin University,15,0.0,29,6,0.0,0.793103448,3.140959656523627e-05,0.0
8,Arizona State University,80,19.0,558,189,0.3870150286,0.661290323,-9.929295542173121e-07,0.6267952955002772
9,Auburn University,7,1.0,52,7,1.0,0.865384615,-9.071435927316551e-08,0.8779873372143078
10,Australian National University,56,20.0,1901,137,0.4929128597,0.927932667,-9.777438587303493e-07,0.8710474720838635
11,Babes Bolyai University from Cluj,7,2.0,28,5,0.3229166667,0.8214285709999999,-9.202833547702428e-07,0.7482071505851883
12,Benemerita Universidad Autonoma de Puebla,15,2.0,45,14,0.2708333333,0.688888889,-9.995185294752114e-07,0.6274866010229578
13,Birla Institute of Technology and Science Pilani (BITS Pilani),9,1.0,50,3,0.3333333333,0.94,-9.994767449663937e-07,0.8474282190235419
14,Colorado State University,25,4.0,134,29,0.4088541667,0.78358209,1.1075772831494955e-09,0.7342312794520367
15,Columbia University,72,13.0,1549,505,0.3941666667,0.673983215,-9.946097166187695e-07,0.638781245320202
16,Cornell University,121,0.0,3530,1378,0.0,0.609631728,7.893672159444028e-05,0.0
17,Ecole Polytechnique Federale de Lausanne,268,0.0,5320,475,0.0,0.9107142859999999,8.078150798515246e-05,0.0
18,Indian Institute of Science (IISC) - Bangalore,39,7.0,449,68,0.8571428570999999,0.848552339,-2.5153965136591653e-08,0.8494074978095515
19,Indian Institute of Technology (IIT BHU) - Varanasi,9,1.0,75,35,0.6666666667,0.533333333,-6.423579957103754e-09,0.5453680937077348
20,Indian Institute of Technology (IIT) - Bombay,11,0.0,230,20,0.0,0.913043478,0.0001406467021681548,0.0
21,Indian Institute of Technology (IIT) - Delhi,25,6.0,210,36,0.30305555559999997,0.828571429,-9.96799719698306e-07,0.7492886664412968
22,Indian Institute of Technology (IIT) - Kharagpur,32,8.0,262,49,0.4633333333,0.812977099,-5.6418442929451355e-09,0.7685282307987477
23,Indian Institute of Technology (IIT) - Madras,37,7.0,329,53,0.5571428571,0.838905775,-9.894102345214342e-07,0.8052644358912212
24,Indian Institute of Technology (IIT) - Roorkee,22,3.0,103,30,0.4133333333,0.708737864,-9.954860016033166e-07,0.6715326131963227
