Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,cost,rho,Internationality
AGH University of Science & Technology,29,3.0,54,33,0.3061728395,0.388888889,0.37970020686854694,0.001061227701701195,0.37970020686854694
Al Azhar University,5,1.0,74,17,0.6666666667,0.77027027,0.7592243108634247,0.0010047914305362504,0.7592243108634247
Al-Imam Muhammad Ibn Saud Islamic University,2,0.0,7,2,0.0,0.7142857140000001,1.7779979765732953e-46,0.001003367030492447,1.7779979765732953e-46
Alexandria University,5,2.0,46,3,0.5833333333,0.934782609,0.8917346490365533,0.001012799973604997,0.8917346490365533
Amity University,3,0.0,3,1,0.0,0.666666667,1.2027012904575847e-45,0.0010226565626399592,1.2027012904575847e-45
Amrita Vishwa Vidyapeetham,4,0.0,10,1,0.0,0.9,4.480681650453969e-46,0.0010100345045405135,4.480681650453969e-46
Ankara University,3,2.0,12,2,0.284375,0.833333333,0.7484260643713007,0.001013277498988662,0.7484260643713007
Aoyama Gakuin University,15,0.0,29,6,0.0,0.793103448,6.270653806297676e-46,0.0010145331315710993,6.270653806297676e-46
Arizona State University,80,19.0,558,189,0.3870150286,0.661290323,0.6268034591389254,0.0010075927253833375,0.6268034591389254
Auburn University,7,1.0,52,7,1.0,0.865384615,0.8779881772449688,0.001015557630253335,0.8779881772449688
Australian National University,56,20.0,1901,137,0.4929128597,0.927932667,0.8710643698885695,0.0010763620880324676,0.8710643698885695
Babes Bolyai University from Cluj,7,2.0,28,5,0.3229166667,0.8214285709999999,0.7482383105267996,0.0010610177185302605,0.7482383105267996
Benemerita Universidad Autonoma de Puebla,15,2.0,45,14,0.2708333333,0.688888889,0.6275139130813138,0.0011090650858500964,0.6275139130813138
Birla Institute of Technology and Science Pilani (BITS Pilani),9,1.0,50,3,0.3333333333,0.94,0.8474693178344747,0.001001965505915344,0.8474693178344747
Colorado State University,25,4.0,134,29,0.4088541667,0.78358209,0.734245311483886,0.0010023729370956993,0.734245311483886
Columbia University,72,13.0,1549,505,0.3941666667,0.673983215,0.6387897680857163,0.0010295095731894799,0.6387897680857163
Cornell University,121,0.0,3530,1378,0.0,0.609631728,3.5378008820841214e-46,0.0010115207475247245,3.5378008820841214e-46
Ecole Polytechnique Federale de Lausanne,268,0.0,5320,475,0.0,0.910714286,1.9775394852289796e-46,0.001002063663028352,1.9775394852289796e-46
Indian Institute of Science (IISC) - Bangalore,39,7.0,449,68,0.8571428570999999,0.848552339,0.8494075061859114,0.0010394991041499536,0.8494075061859114
Indian Institute of Technology (IIT BHU) - Varanasi,9,1.0,75,35,0.6666666667,0.533333333,0.5453693363634072,0.001014095577159646,0.5453693363634072
Indian Institute of Technology (IIT) - Bombay,11,0.0,230,20,0.0,0.913043478,1.0202050339696801e-45,0.001017923342170518,1.0202050339696801e-45
Indian Institute of Technology (IIT) - Delhi,25,6.0,210,36,0.3030555556,0.828571429,0.7493229413219002,0.00100409991159503,0.7493229413219002
Indian Institute of Technology (IIT) - Kharagpur,32,8.0,262,49,0.4633333333,0.812977099,0.7685397227646312,0.0010496582464248339,0.7685397227646312
Indian Institute of Technology (IIT) - Madras,37,7.0,329,53,0.5571428571,0.838905775,0.8052705397780667,0.0010047036561129643,0.8052705397780667
Indian Institute of Technology (IIT) - Roorkee,22,3.0,103,30,0.4133333333,0.708737864,0.6715419647897972,0.0010634309217036342,0.6715419647897972
Johns Hopkins University,130,0.0,3047,1185,0.0,0.611092878,7.073727726106658e-45,0.001041446937786017,7.073727726106658e-45
Manipal University,5,2.0,39,15,0.5,0.615384615,0.6027397649355682,0.0010361441566578145,0.6027397649355682
McGill University,103,0.0,1634,215,0.0,0.8684210529999999,2.0896359290235595e-46,0.0010030432907273948,2.0896359290235595e-46
National Institute of Technology Karnataka,2,0.0,13,8,0.0,0.384615385,2.448986283835241e-46,0.0010124225542159082,2.448986283835241e-46
North Carolina State University,31,2.0,279,105,0.3333333333,0.623655914,0.5857969245813746,0.0011309338781230463,0.5857969245813746
PES University,2,0.0,9,2,0.0,0.7777777779999999,2.1728252235728423e-45,0.0010270158548497943,2.1728252235728423e-45
RWTH Aachen University,59,17.0,496,99,0.3149739051,0.8004032259999999,0.7291594967438301,0.0010080853263456369,0.7291594967438301
Simon Fraser University,66,15.0,593,97,0.4620833333,0.8364249579999999,0.788249506475749,0.0010744019512937963,0.788249506475749
Sogang University,19,10.0,163,34,0.3388518519,0.791411043,0.7270714740936417,0.0010117610031695479,0.7270714740936417
State University of New York (SUNY) Binghamton,13,2.0,120,28,0.5,0.7666666670000001,0.73459251609885,0.0010015222407253888,0.73459251609885
University of British Columbia,85,26.0,1642,147,0.3759775641,0.91047503,0.8334378060358516,0.0010317064553813093,0.8334378060358516
University of Edinburgh,83,34.0,860,51,0.280756647,0.940697674,0.8336186146306075,0.0010270667136993011,0.8336186146306075
University of Guelph,45,23.0,232,33,0.2982004831,0.8577586209999999,0.7717979997060799,0.0011110680939213635,0.7717979997060799
University of Michigan,218,0.0,3916,1290,0.0,0.670582227,2.229726425011336e-45,0.0010287621821371828,2.229726425011336e-45
University of Montreal,56,10.0,771,126,0.1831309524,0.836575875,0.7187507013025501,0.001049295797010047,0.7187507013025501
University of Ottawa,39,8.0,291,53,0.6775,0.817869416,0.8026151129929627,0.0012005396838596916,0.8026151129929627
University of Pennsylvania,222,0.0,8241,3017,0.0,0.633903652,2.3737063927228878e-45,0.0010299571522125739,2.3737063927228878e-45
University of Salford,24,7.0,416,53,0.3088253158,0.872596154,0.7865486625006489,0.0010599451062394682,0.7865486625006489
University of Southern California,173,0.0,6126,1906,0.0,0.688867124,1.1249889350023445e-45,0.0010216693154289358,1.1249889350023445e-45
University of Southern Queensland,2,1.0,11,1,0.75,0.909090909,0.8917712478081087,0.0010456392420604838,0.8917712478081087
University of Tokyo,390,0.0,4303,1048,0.0,0.756448989,3.3611044825630185e-44,0.001055480171945733,3.3611044825630185e-44
University of Toronto,200,0.0,2002,301,0.0,0.84965035,1.4042053322152297e-45,0.0010217874388306755,1.4042053322152297e-45
University of Waterloo,91,31.0,1272,151,0.5167769061,0.8812893079999999,0.8354926084579741,0.0010150658247048416,0.8354926084579741
Yale University,84,19.0,1581,501,0.521301468,0.683111954,0.6648949877401603,0.00102762821342392,0.6648949877401603
Yonsei University,41,5.0,250,66,0.2433333333,0.736,0.6589224197910087,0.001006593284396562,0.6589224197910087
