Institute,Articles,Articles w/ IC,Total Citations,Parent Country Citations,ICR,NLIQ,Ranking,1>rho>0,Internationality(1>rho>0,0.1>rho>0.001,Internationality(0.1>rho>0.001,0.99>rho>0.9,Internationality(0.99>rho>0.9,0.9>rho>0.101,Internationality(0.9>rho>0.101,rho>1,Internationality(rho>1
Yale University,139,38,2698,1122,0.4474134631,0.5841363973,8,0.0007007770570046645,0.5112276831877433,0.0010262700372951072,0.511229162140468,0.9001030553612562,0.5153208395233484,0.10104546330331521,0.5116838113046667,12807.607770106188,0.0
Brown University,113,32,2381,1027,0.4878838931,0.5686686266,53,0.0009500273107723167,0.5267312506540243,0.001049593124611641,0.526731404555537,0.9000034574910746,0.5281216718307974,0.10163191509882197,0.5268868986541418,96662.07604000211,0.0
Boston University,135,37,4170,1740,0.49063601869999995,0.5827338129,61,0.000393753494807525,0.5347064903505837,0.0010512008177358803,0.5347077907745659,0.9000187170820645,0.5364871201490612,0.10100408439887398,0.534905530838085,32685.899073341956,0.0
University of Groningen,108,31,1901,308,0.49084515310000004,0.8379800104999999,73,0.00014605521599553306,0.6413444652968643,0.0010778016474320973,0.6413658348559428,0.900032134127739,0.6621159519633799,0.10107336243215587,0.643663088580593,90607.93346553897,0.0
Humboldt University of Berlin,113,29,2930,697,0.5908436531,0.762116041,74,0.0003201781355652855,0.6710393141715859,0.00101471221372898,0.6710430889379754,0.9000279145853906,0.6759362990113074,0.10208274810292028,0.6715926006737523,50440.42485971626,0.0
Emory University,62,15,1542,678,0.5554567900999999,0.560311284,80,0.0009207322131272733,0.5578787616426916,0.0010314985325231563,0.5578787622275108,0.9000679050384318,0.5578835093822504,0.10105607976181752,0.5578792903836295,9441.101189025427,0.0
University of Freiburg,107,24,2428,656,0.4646057237,0.7298187809000001,86,0.0005990319877708927,0.5823129223055923,0.0010239015687735775,0.5823192296418738,0.9000530915221308,0.5957267402086162,0.1014553253238879,0.5838119552893002,73717.93762510901,0.0
University of Zurich,92,40,1652,220,0.5716947328,0.8668280872,90,0.00018350200435213182,0.703963770688,0.0010257261981535945,0.7039766108422415,0.9000634461636428,0.7177362816319806,0.10106553840948806,0.7055033242360146,67596.5208284038,0.0
Eberhard Karls University of Tubingen,95,40,281,110,0.5074962699000001,0.6085409253,91,0.0002357904231380381,0.5557273161159537,0.0010365161023229152,0.5557291499810855,0.9000120249743151,0.5577895561759314,0.1011103087523344,0.5559583887775731,87558.52257366347,0.0
University of Basel,36,19,522,103,0.4037449775,0.8026819923,94,2.2314322530414543e-05,0.5692799633127691,0.0010465523368401175,0.5693143812509882,0.9000034319323119,0.5998437207567054,0.10149694929923059,0.5726992957959788,36999.50223972676,0.0
Dartmouth College,77,17,1552,483,0.4722488996,0.6887886598,94,0.00020855796943686222,0.5703350792587322,0.0010256019799433072,0.570343376957213,0.9000554644727744,0.5795029249659633,0.10106155874648093,0.5713601680619487,61682.72230762742,0.0
University of Helsinki,115,52,2778,356,0.5642211965,0.871850252,96,0.00011698698396522822,0.7013694581856241,0.0011059562042725624,0.7013858778864099,0.9000104658762297,0.7163737732157724,0.10180619218818698,0.7030596634430241,68367.08715937017,0.0
